Timestep;Time span;Sum [var]
681;11:21:00;91,7730761393623
682;11:22:00;91,75369915584326
683;11:23:00;91,74875156791983
684;11:24:00;91,74711759389393
685;11:25:00;91,71996235073729
686;11:26:00;91,71672793956041
687;11:27:00;91,71317726991613
688;11:28:00;91,71220393560212
689;11:29:00;91,71157571283135
690;11:30:00;91,70018100110723
691;11:31:00;91,69731363198457
692;11:32:00;91,6895946353843
693;11:33:00;91,68422643650318
694;11:34:00;91,67669515052475
695;11:35:00;91,67559527218104
696;11:36:00;91,63044657224809
697;11:37:00;91,62955285391988
698;11:38:00;91,62488427377282
699;11:39:00;91,58138235806595
700;11:40:00;91,57883302905412
701;11:41:00;91,57741578758174
702;11:42:00;91,56302158725146
703;11:43:00;91,54771235106983
704;11:44:00;91,52939310332017
705;11:45:00;91,51157441446166
706;11:46:00;91,50867413174579
707;11:47:00;91,49863352125179
708;11:48:00;91,48132589140724
709;11:49:00;91,47012674062834
710;11:50:00;91,46416760975617
711;11:51:00;91,4504508458638
712;11:52:00;91,3987304608464
713;11:53:00;91,38943978636553
714;11:54:00;91,35319804046179
715;11:55:00;91,33053028144917
716;11:56:00;91,32223207469964
717;11:57:00;91,29279976366396
718;11:58:00;91,26707677924563
719;11:59:00;91,22181078789018
720;12:00:00;91,19487859199259
721;12:01:00;91,19178598531145
722;12:02:00;91,15242720809279
723;12:03:00;91,1451403442279
724;12:04:00;91,13886436149984
725;12:05:00;91,13581270523092
726;12:06:00;91,07421312164703
727;12:07:00;91,07271389967424
728;12:08:00;91,06181190609347
729;12:09:00;91,06031614338616
730;12:10:00;90,9892868325278
731;12:11:00;90,9749630441034
732;12:12:00;90,9746889238157
733;12:13:00;90,88024275588057
734;12:14:00;90,87865009505141
735;12:15:00;90,8779616568386
736;12:16:00;90,87222423342104
737;12:17:00;90,86432709832552
738;12:18:00;90,76682053709389
739;12:19:00;90,59368425693384
740;12:20:00;90,421793576242
741;12:21:00;90,41510046677772
742;12:22:00;90,40574039764932
743;12:23:00;90,38710023284527
744;12:24:00;90,33665958870536
745;12:25:00;90,0640060448651
746;12:26:00;89,9571594387244
747;12:27:00;89,94355381319039
748;12:28:00;89,84748095357713
749;12:29:00;89,8426511987086
750;12:30:00;89,68502977442236
751;12:31:00;89,65569437329954
752;12:32:00;89,6464530130109
753;12:33:00;89,57217927130354
754;12:34:00;89,55691513406965
755;12:35:00;89,42816316449697
756;12:36:00;89,39544757942589
757;12:37:00;89,1456713546273
758;12:38:00;89,02905640031874
759;12:39:00;88,94452953379916
760;12:40:00;88,82089494814008
761;12:41:00;88,59718091787443
762;12:42:00;87,25567438671878
763;12:43:00;87,13057707791172
764;12:44:00;85,72185537195811
765;12:45:00;85,60115982368205
766;12:46:00;85,48276377434836
767;12:47:00;84,71843440720903
768;12:48:00;84,6960520130323
769;12:49:00;84,17615705259195
770;12:50:00;83,60742567465225
771;12:51:00;83,28543162575232
772;12:52:00;82,47922962107013
773;12:53:00;81,64013645771415
774;12:54:00;81,33819395737214
775;12:55:00;81,05865962920682
776;12:56:00;80,60383872754741
777;12:57:00;80,53147078184043
778;12:58:00;80,185771521754
779;12:59:00;79,5652157522909
780;13:00:00;79,53421561610291
781;13:01:00;78,39691500040652
782;13:02:00;78,27316677036431
783;13:03:00;78,25073379152552
784;13:04:00;78,24733497646544
785;13:05:00;78,04905233784268
786;13:06:00;77,93731156439335
787;13:07:00;77,9310670775844
788;13:08:00;77,92462450367303
789;13:09:00;77,77133603006678
790;13:10:00;77,75291395030301
791;13:11:00;77,73891210287127
792;13:12:00;77,66732162991985
793;13:13:00;77,60266490644514
794;13:14:00;77,53316173373886
795;13:15:00;77,49785945410214
796;13:16:00;77,45884512026515
797;13:17:00;77,45667316611568
798;13:18:00;77,43447604561857
799;13:19:00;77,40621804029784
800;13:20:00;77,38123525315366
801;13:21:00;77,31172044577785
802;13:22:00;77,2672498807341
803;13:23:00;77,21933013130032
804;13:24:00;77,15971417873659
805;13:25:00;77,1215000633902
806;13:26:00;77,05437798395974
807;13:27:00;77,01255745397705
808;13:28:00;77,00709886671997
809;13:29:00;76,96238978145914
810;13:30:00;76,9059519250989
811;13:31:00;76,89124218161407
812;13:32:00;76,8801101878712
813;13:33:00;76,81576488660501
814;13:34:00;76,81018850794774
815;13:35:00;76,72956117148176
816;13:36:00;76,6942202813664
817;13:37:00;76,6401655940302
818;13:38:00;76,60368031368654
819;13:39:00;76,57068089415047
820;13:40:00;76,42742099276767
821;13:41:00;76,28012791942133
822;13:42:00;76,2694473003591
