Inner Device Heat Gains.Time;Time span;Living Room Light (100W) [Watt];Kitchen Light (100W) [Watt];Bathroom Light (100W) [Watt];Bathroom Mirror Light 10 W (LED) [Watt];Bedroom Light (200W) [Watt];Egg Cooker / Russell Hobbs 14048-56 Stylo [Watt];Juicer / Moulinex Vitafruit [Watt];Kitchen radio / AEG KRC 4323 CD [Watt];Single Stove Plate [Watt];Nespresso Coffee Machine, Single Cup [Watt];Food Slicer / DOMO Schneidemaschine DO521S [Watt];Toaster Salco MT 400 [Watt];PC / Acer 8400 [Watt];PC Monitor / Fujitsu Siemens Scaleoview D19-1 [Watt];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [Watt];Christopeit Treadmill TM 2 Pro [Watt];Laptop Sony Vaio SVE151G11M [Watt];Lawn Mower / Sabo 32-EL [Watt];Hifi System / Sharp XL-HF300PH [Watt];Electric Kettle / Petra WK288 1.5L [Watt];Energy Saving Lamp / EL-REF 11 E27 [Watt];CD/DVD Player / Philips DVDR 725 H [Watt];TV Medion MD20123_DE_A [Watt];SAT Receiver / Kathrein UFS913 [Watt];Canister vacuum cleaner / Siemens VS 06 G 1831 [Watt];Microsoft Xbox 360 [Watt];Miele DG 1450 [Watt];Handmixer / Phillips Robust HR 1581 [Watt];Dishwasher NEFF SD6P1F (2011) [Watt];Dryer / Miele T 8626 WP [Watt];Hedge Trimmer / Bosch AHS 550-24 ST [Watt];Atika LH 2500 G [Watt];Steam Iron / Phillips GC 4410 [Watt];Washing Machine / Bosch WAE 28143 [Watt];Hair Dryer Braun Silencio 1250 [Watt];Siemens Kl 20 LA 65 (A+) [Watt];Router O2 Box 6431 [Watt];Electric Razor Braun Cruzer 5 [Watt];Electric Toothbrush Dondodent Professional Clean [Watt];
42;00:42:00;0;0;0;0;0;0;0;1,0061355873322184;0;0;0;0;1,2110579973443354;0,9335560951433142;0;0;2,1230556401452394;0;2,230186331085953;0;0;0,8088816278947064;0,2109142777801424;1,0160484281070166;0;2,6716341568240534;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
43;00:43:00;0;0;0;0;0;0;0;1,0106871866714513;0;0;0;0;1,2119991044866172;0,9366987456819231;0;0;2,123708117738877;0;2,23256708965488;0;0;0,8091025767925916;0,21099392512771098;1,0168129835556101;0;2,676995202197339;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
44;00:44:00;0;0;0;0;0;0;0;1,0116407739235511;0;0;0;0;1,2144180263896087;0,9381673295655397;0;0;2,1259901102679812;0;2,2335402711752224;0;0;0,8114423463714616;0,21135649409981574;1,0173649937220746;0;2,680944919303994;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
45;00:45:00;0;0;0;0;0;0;0;1,01258996404995;0;0;0;0;1,2153479531199611;0,9386106414074432;0;0;2,126026744097578;0;2,2364027423295862;0;0;0,8115671257475539;0,21159600192440106;1,0181312956109023;0;2,683409705888293;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
46;00:46:00;0;0;0;0;0;0;0;1,0157011924068384;0;0;0;0;1,2168941535345397;0,9405374514933875;0;0;2,132727233097374;0;2,23700962613961;0;0;0,8127293607641944;0,21211710666674524;1,018267935568837;0;2,684940964282493;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
47;00:47:00;0;0;0;0;0;0;0;1,0165701925091717;0;0;0;0;1,2172010705367;0,9413043721707073;0;0;2,134135188914789;0;2,240273920291771;0;0;0,8132348142503233;0,2121994461132448;1,0189194044752672;0;2,68531252415306;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
48;00:48:00;0;0;0;0;0;0;0;1,0180752917040041;0;0;0;0;1,2172877636059232;0,9426680254695827;0;0;2,1388419358808;0;2,2417607698158335;0;0;0,8132880949801061;0,21288194774915364;1,0190666101210086;0;2,685354259844702;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
49;00:49:00;0;0;0;0;0;0;0;1,0191401465145884;0;0;0;0;1,218566425900528;0,9434012920871773;0;0;2,138865302282891;0;2,251707931541248;0;0;0,8133895110255274;0,21293044784758647;1,0198195202269524;0;2,687804526645052;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
50;00:50:00;0;0;0;0;0;0;0;1,021119555973152;0;0;0;0;1,2187909008606623;0,9439038540010017;0;0;2,143748992603387;0;2,254651439599122;0;0;0,8140314144316326;0,21312474853346916;1,0199967518190933;0;2,68782891863247;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
51;00:51:00;0;0;0;0;0;0;0;1,0211489451249478;0;0;0;0;1,2200413631078637;0,9439397342641231;0;0;2,144687979003709;0;2,257582548084135;0;0;0,8144413466693374;0,21369258599699692;1,020584135538565;0;2,6894444287293866;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
52;00:52:00;0;0;0;0;0;0;0;1,0216146925831209;0;0;0;0;1,2201864808506775;0,9451634063629296;0;0;2,1472922024044805;0;2,261781789362381;0;0;0,8146551466260679;0,21425228004764627;1,0210139500657847;0;2,689610423459313;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
